Title,Rating,Expert Rating,Location,Price Per Night,Distance From City,Facilities,Country
Holiday Inn Express Dubai Internet City,2 Star Hotel,8.5,Dubai,"5,000",3 km from City Center,"['Free Wi-Fi', 'Air-Conditioned', 'Restaurant']",Dubai
Hotel President Dubai,2 Star Hotel,8.5,Dubai,"5,000",3 km from City Center,"['Laundry Service', 'Room Service', 'Restaurant']",Dubai
Hues Boutique Hotel Dubai,4 Star Hotel,8.5,Dubai,"15,000",7 km from City Center,"['Outdoor Pool', 'Air-Conditioned', 'Laundry Service', 'Room Service']",Dubai
Ramee Guestline Hotel Dubai,2 Star Hotel,8.5,Dubai,"5,000",6 km from City Center,"['Free Parking', 'Free Wi-Fi', 'Restaurant']",Dubai
Dream Palace Hotel Dubai,3 Star Hotel,8.5,Dubai,"5,000",6 km from City Center,"['Outdoor Pool', 'Restaurant', 'Air-Conditioned']",Dubai
Hotel City King Dubai,2 Star Hotel,8.5,Dubai,"5,000",5 km from City Center,"['Outdoor Pool', 'Laundry Service', 'Room Service']",Dubai
Tara Hotel Dubai,2 Star Hotel,8.5,Dubai,"5,000",5 km from City Center,['Free Wi-Fi'],Dubai
Metropolitan Hotel Dubai,5 Star Hotel,8.5,Dubai,"5,000",13 km from City Center,"['Free Wi-Fi', 'Restaurant']",Dubai
Nuran Marina Serviced Residences Dubai,5 Star Hotel,8.5,Dubai,"15,000",23 km from City Center,"['Outdoor Pool', 'Laundry Service']",Dubai
"Atlantis, The Palm Dubai",5 Star Hotel,8.5,Dubai,"10,000",20 km from City Center,['Fitness Center'],Dubai
Avari Hotel Dubai,4 Star Hotel,8.5,Dubai,"20,000",6 km from City Center,"['Laundry Service', 'Free Wi-Fi']",Dubai
Holiday Inn Dubai   Al Barsha,4 Star Hotel,8.5,Dubai,"5,000",15 km from City Center,"['Air-Conditioned', 'Laundry Service', 'Restaurant']",Dubai
Ibis Hotel World Trade Center Dubai,2 Star Hotel,8.5,Dubai,"10,000",24 km from City Center,"['Free Wi-Fi', 'Air-Conditioned', 'Laundry Service', 'Room Service']",Dubai
Vluxe Holiday Homes Princess Tower Dubai,3 Star Hotel,8.5,Dubai,"10,000",21 km from City Center,"['Free Wi-Fi', 'Free Parking', 'Fitness Center']",Dubai
